,color_tags
0,"['Black', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'Yellow']"
1,"['Black', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
2,"['Black', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Red', 'Silver', 'Transparent', 'Yellow']"
3,"['Brown', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Silver', 'Yellow']"
4,"['Gold', 'Green', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent', 'Yellow']"
5,"['Blue', 'Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Pink', 'Transparent', 'White']"
6,"['Blue', 'Gold', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
7,"['Beige', 'Black', 'Blue', 'Brown', 'Gold', 'Grey', 'Multiple Colors', 'Navy', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
8,"['Blue', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent']"
9,"['Burgundy', 'Gold', 'Green', 'Grey', 'Orange', 'Pink', 'Purple', 'Silver']"
10,"['Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple']"
11,"['Brown', 'Green', 'Grey', 'Orange', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
12,"['Khaki', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
13,"['Burgundy', 'Gold', 'Khaki', 'Multiple Colors', 'Navy', 'Pink', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
14,"['Beige', 'Black', 'Blue', 'Brown', 'Gold', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'White']"
15,"['Beige', 'Black', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent', 'Yellow']"
16,"['Black', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
17,"['Beige', 'Black', 'Burgundy', 'Gold', 'Grey', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent']"
18,"['Beige', 'Blue', 'Grey', 'Orange', 'Pink', 'Red', 'Transparent']"
19,"['Gold', 'Khaki', 'Pink', 'Red', 'White', 'Yellow']"
20,"['Brown', 'Gold', 'Green', 'Grey', 'Orange', 'White']"
21,"['Burgundy', 'Gold', 'Green', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
22,"['Beige', 'Brown', 'Green', 'Khaki', 'Purple', 'Silver', 'Yellow']"
23,"['Blue', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
24,"['Black', 'Brown', 'Burgundy', 'Gold', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent']"
25,"['Blue', 'Grey', 'Orange', 'Pink', 'Purple']"
26,"['Beige', 'Black', 'Blue', 'Burgundy', 'Green', 'Navy', 'Orange', 'Red', 'Silver', 'Yellow']"
27,"['Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Navy', 'Pink', 'Red', 'White']"
28,"['Black', 'Blue', 'Burgundy', 'Green', 'Grey', 'Khaki', 'Orange', 'Purple', 'Transparent', 'Yellow']"
29,"['Beige', 'Black', 'Brown', 'Gold', 'Grey', 'Khaki', 'Purple', 'Transparent', 'Yellow']"
